,State,District,Latitude,Longitude,District code,Population,Households_with_Internet,Literacy_rate
0,Andhra Pradesh,Adilabad,19.284513950073432,78.81321233480178,532,2741239,5512,0.5411228280350601
1,Andhra Pradesh,Anantapur,14.312065561843147,77.46015844785771,553,4081148,8606,0.5662524368143473
2,Andhra Pradesh,Chittoor,13.331092630676961,78.92763898886038,554,4174064,13763,0.6391559880250998
3,Andhra Pradesh,East Godavari,16.782718320784902,82.2432074720511,545,5154296,22411,0.6380264152466215
4,Andhra Pradesh,Guntur,15.884925767634847,80.58657614107885,548,4887813,19383,0.6056780404651324
5,Andhra Pradesh,Hyderabad,17.38971555555556,78.46668888888887,536,3943323,149034,0.7334309160066269
6,Andhra Pradesh,Karimnagar,18.515483193277312,79.43765428571412,534,3776269,8831,0.5843940143035361
7,Andhra Pradesh,Khammam,17.683921325051784,80.67008643892333,541,2797370,8628,0.5827738196949277
8,Andhra Pradesh,Krishna,16.143872753151673,81.14805061000413,547,4517398,30438,0.6662503503122815
9,Andhra Pradesh,Kurnool,15.437597151424288,77.90086836581717,552,4053463,10081,0.5247762222080231
10,Andhra Pradesh,Mahbubnagar,16.639546224256293,77.98933089244859,538,4053028,6153,0.47881386459703706
11,Andhra Pradesh,Medak,17.889304978038055,78.13778901903379,535,3033288,8635,0.5397235607037644
12,Andhra Pradesh,Nalgonda,17.113250515463907,79.16984453608244,539,3488809,7715,0.5735536109887357
13,Andhra Pradesh,Nizamabad,18.429485849056608,78.07523490566034,533,2551335,5261,0.5447383428675576
14,Andhra Pradesh,Prakasam,15.489039001601705,80.11665790176184,549,3397448,6151,0.5605486824228068
15,Andhra Pradesh,Srikakulam,18.570900998697432,84.25874814010676,542,2703114,3988,0.5532067829917643
16,Andhra Pradesh,Vizianagaram,18.283296960329718,83.45982854198874,543,2344474,4453,0.5282157106455435
17,Andhra Pradesh,Warangal,18.01752608695651,79.87422028985509,540,3512576,12952,0.5878941836418629
18,Andhra Pradesh,West Godavari,16.63297943925236,81.45912990654196,546,3936966,12050,0.6737139716218021
19,Arunachal Pradesh,Changlang,27.360484793388448,96.37552644628107,253,148226,170,0.493665079000985
20,Arunachal Pradesh,East Kameng,27.371194055944056,93.04741486013997,247,78690,57,0.4886135468293303
21,Arunachal Pradesh,East Siang,28.15382352941176,95.06499226006191,251,99214,450,0.6307174390710988
22,Arunachal Pradesh,Kurung Kumey,28.048533518005534,93.24531994459835,256,92076,95,0.3975628828359182
23,Arunachal Pradesh,Lohit,27.946785273972626,96.59670770547943,259,145726,312,0.5699875108079546
24,Arunachal Pradesh,Lower Dibang Valley,28.32651730103806,95.76567335640142,258,54080,207,0.5889238165680474
25,Arunachal Pradesh,Lower Subansiri,27.70849297297297,93.96226108108112,255,83030,381,0.651053835962905
26,Arunachal Pradesh,Papum Pare,27.27352971698113,93.54468183962265,248,176573,2477,0.6855408244748631
27,Arunachal Pradesh,Tawang,27.680683962264148,91.82504245283016,245,49977,96,0.5216999819917162
28,Arunachal Pradesh,Tirap,26.944062295081984,95.41470327868862,254,111975,98,0.42843491850859566
29,Arunachal Pradesh,Upper Siang,28.8309244897959,95.00155765306124,252,35320,97,0.5151472253680635
30,Arunachal Pradesh,Upper Subansiri,28.277196566523585,93.89914356223179,249,83448,139,0.5425893969897421
31,Arunachal Pradesh,West Kameng,27.46486582278483,92.65015750452083,246,83947,202,0.5776501840446948
32,Arunachal Pradesh,West Siang,28.106296920289846,94.53510344202907,250,112274,303,0.5766784829969539
33,Assam,Barpeta,26.427872264631056,90.97912010178116,303,1693622,2078,0.529668367557814
34,Assam,Bongaigaon,26.45012521994133,90.67342961876841,319,738804,2523,0.5875414859692151
35,Assam,Cachar,24.815570668693017,92.86849650455929,316,1736617,5316,0.6761007176596797
36,Assam,Darrang,26.584632159624423,92.04141338028157,325,928500,1166,0.524543887991384
37,Assam,Dhemaji,27.58653343848582,94.71336908517351,308,686133,1192,0.6165393589872518
38,Assam,Dibrugarh,27.30612284482757,95.0998282327587,310,1326335,8817,0.6668986342062903
39,Assam,Goalpara,26.01727777777781,90.59869891598913,302,1008183,1364,0.5590026810608788
40,Assam,Golaghat,26.377219709794485,93.8258339782347,313,1066888,3073,0.676513373475004
41,Assam,Hailakandi,24.45749608938549,92.59154664804475,318,659296,1211,0.6178802844245984
42,Assam,Jorhat,26.76244824016563,94.30197722567287,312,1092256,5651,0.7277863431283509
43,Assam,Kamrup,26.17093945205481,91.58863273972591,321,1517542,3109,0.6558757517090137
44,Assam,Karbi Anglong,26.08966454598031,93.11536570271832,314,956313,1923,0.5826690633715113
45,Assam,Karimganj,24.69660712250711,92.3679498575498,317,1228686,1933,0.6472744053403392
46,Assam,Kokrajhar,26.49724663573087,90.13997470997688,300,887142,1218,0.5515520626912039
47,Assam,Lakhimpur,27.14128805970149,94.0775949253732,307,1042137,1948,0.6558504304136596
48,Assam,Nagaon,26.264621706263515,92.9306191144708,305,2823768,5121,0.6058273909188007
49,Assam,Nalbari,26.46323767605632,91.40598521126765,323,771639,1631,0.6891447943921963
50,Assam,Sonitpur,26.73514926829268,92.85197804878044,306,1924110,4358,0.576147933330215
51,Assam,Tinsukia,27.535492911392414,95.69055949367085,309,1327929,5135,0.6011782256430879
52,Bihar,Araria,26.211528119180606,87.30766554934816,209,2811569,2561,0.4253027402137383
53,Bihar,Aurangabad,24.774291867469874,84.45986024096379,235,2540073,2362,0.5771495543632014
54,Bihar,Aurangabad,24.774291867469874,84.45986024096379,515,3701282,23258,0.6764783121091557
55,Maharashtra,Aurangabad,20.0979228832952,75.32072196796334,235,2540073,2362,0.5771495543632014
56,Maharashtra,Aurangabad,20.0979228832952,75.32072196796334,515,3701282,23258,0.6764783121091557
57,Bihar,Banka,24.832355642023334,86.8664916342413,225,2034763,1704,0.47441446497700224
58,Bihar,Begusarai,25.54302613168723,86.1256014403293,222,2970541,4644,0.5213437552284247
59,Bihar,Bhagalpur,25.277192885375477,87.04213814229243,224,3037766,6764,0.5178364627163514
60,Bihar,Bhojpur,25.50666439393939,84.49407803030304,231,2728407,3661,0.5861116028510409
61,Bihar,Buxar,25.485930188679237,84.08808081760995,232,1706352,1784,0.5800719898356259
62,Bihar,Darbhanga,26.146187719298254,85.97387352472099,215,3937385,6280,0.4613808403293049
63,Bihar,Gaya,24.726654154727804,84.94291217765044,236,4391418,6856,0.5232052608064184
64,Bihar,Gopalganj,26.448743641618513,84.34636127167629,217,2562012,3707,0.5398093373489273
65,Bihar,Jamui,24.78418380462726,86.26316298200514,238,1760405,1839,0.4877218594584769
66,Bihar,Jehanabad,25.15567904564316,84.9208124481328,239,1125313,1106,0.5499634323961422
67,Bihar,Katihar,25.565653560371512,87.70466083591326,212,3071029,2941,0.4168602771253544
68,Bihar,Khagaria,25.535588914549642,86.56593256351037,223,1666886,1580,0.4607561644887533
69,Bihar,Kishanganj,26.324336758321294,87.95045007235886,210,1690400,1093,0.4407572172266919
70,Bihar,Lakhisarai,25.183449321266966,86.1282570135747,227,1000912,1186,0.5068077912943396
71,Bihar,Madhepura,25.77341929460581,86.8978443983403,213,2001762,1397,0.4169211924294696
72,Bihar,Madhubani,26.413805381727162,86.16328360450552,207,4487379,5319,0.4803111125670464
73,Bihar,Munger,25.198537962962966,86.54173672839504,226,1367765,2653,0.5862242417374329
74,Bihar,Muzaffarpur,26.186644171779147,85.32745092024544,216,4801062,10290,0.5226410323382619
75,Bihar,Nalanda,25.229345508982053,85.48053113772461,229,2877653,4156,0.5281849479419513
76,Bihar,Nawada,24.825708836206907,85.61594568965519,237,2219146,1841,0.49163597167559053
77,Bihar,Pashchim Champaran,27.160643522012577,84.30265911949684,203,3935042,3495,0.44713144103671576
78,Bihar,Patna,25.40297114503818,85.31984335877871,230,5838465,40692,0.5925665393215511
79,Bihar,Purba Champaran,26.68129336734693,85.00382155612242,204,5099371,7719,0.4465172273207813
80,Bihar,Purnia,25.81714801901739,87.40447606973066,211,3264619,4170,0.4081107167482637
81,Bihar,Rohtas,24.99170460829495,83.93507626728109,234,2959918,4594,0.6080681964838215
82,Bihar,Saharsa,25.821270696721307,86.54670819672134,214,1900661,1668,0.4235347597493714
83,Bihar,Samastipur,25.793205563909765,85.94833323308269,221,4261566,5379,0.5028386278659066
84,Bihar,Saran,25.89656077844312,84.82266287425155,219,3951862,4509,0.5459335371528662
85,Bihar,Sheikhpura,25.12472436548223,85.77839390862944,228,636342,631,0.5165084184290837
86,Bihar,Sheohar,26.45838074866311,85.29539411764709,205,656246,478,0.4323043492836528
87,Bihar,Sitamarhi,26.565700696864127,85.61172491289203,206,3423574,3460,0.4196766303284229
88,Bihar,Siwan,26.1736372013652,84.33766552901022,218,3330464,3834,0.5795513778260326
89,Bihar,Supaul,26.281578937728963,86.78496465201462,208,2229076,1845,0.46354767625688853
90,Bihar,Vaishali,25.813470318021196,85.39247597173153,220,3495021,4810,0.5512813799974307
91,Chandigarh,Chandigarh,30.7426,76.75872465753423,55,1055450,44283,0.7631228385996495
92,Chhattisgarh,Bastar,19.393866751269048,81.52895126903546,414,1413199,1782,0.4605600485140451
93,Chhattisgarh,Bilaspur,22.356942982456147,81.99770350877188,30,381956,1574,0.7530186723078051
94,Chhattisgarh,Bilaspur,22.356942982456147,81.99770350877188,406,2663629,8566,0.5993927833042815
95,Himachal Pradesh,Bilaspur,31.378042290748898,76.65316079295157,30,381956,1574,0.7530186723078051
96,Himachal Pradesh,Bilaspur,31.378042290748898,76.65316079295157,406,2663629,8566,0.5993927833042815
97,Chhattisgarh,Dhamtari,20.554912627291245,81.7569195519348,412,799781,1016,0.6837284206551544
98,Chhattisgarh,Durg,21.194463849287164,81.33181639511197,409,3343872,16141,0.6888355774383709
99,Chhattisgarh,Jashpur,22.77286167664669,83.8703962075848,402,851669,567,0.5816989933882765
100,Chhattisgarh,Korba,22.491712499999995,82.57604326923074,404,1206640,4544,0.6205322217065571
